# G10 §H golden baselines — background pipeline
# texture size 512, default tolerance 30, fill #EE3333
# picture | variant | out bytes | ms | sha256 | vs baseline
1_transparent.png | off | 150860 | 452 | c851e40cff3d7faff44559d9bfbe84ec50bc3863108651527e44ae77f56e0c1b | identical
1_transparent.png | edges | 140835 | 207 | a2dd464593e85a58fec712bf42ccc705037953bc4bbeb80ba2bc3a8956469b80 | identical
1_transparent.png | closed | 140835 | 215 | a2dd464593e85a58fec712bf42ccc705037953bc4bbeb80ba2bc3a8956469b80 | identical
1_transparent.png | smart | 143643 | 229 | 975b39a8a7e82fd4e5c340587adf57038aefa5137179adfb5410e2d95291a659 | identical
1_transparent.png | edges_fill | 143585 | 145 | 05deb05b04f95ce16556ff8a8e4a4e2ba9f15cf257fb01ba2e174c01e244476c | identical
1_transparent.png | setbg | 140968 | 162 | 58484be7e2c23ab50874fbae1b58082e9966bcbf18ec097c34bc99d1b124767f | identical
1_transparent.png | variant | 149599 | 177 | c49c73d15ac01f74d549a9c0d7926a12d64ef9ffa2cd80c36b4038f8039d5217 | identical
2_chrome_logo.png | off | 128141 | 329 | f37e84659659c85c64add91dc3535a868f3e0984a76d357e02db0029a93032da | 3318 px moved, max 151
2_chrome_logo.png | edges | 126427 | 461 | 0b6c8261cf9547ddc30cd89b088d85bab98f7f36b4f6e83459bb40707839635a | 2826 px moved, max 152
2_chrome_logo.png | closed | 126427 | 616 | 0b6c8261cf9547ddc30cd89b088d85bab98f7f36b4f6e83459bb40707839635a | 2826 px moved, max 152
2_chrome_logo.png | smart | 128148 | 1442 | 881310e87dc091665b9f2806a2bd9b378e4a9e6189740a57784611731f0308e8 | 3018 px moved, max 151
2_chrome_logo.png | edges_fill | 128148 | 1126 | 881310e87dc091665b9f2806a2bd9b378e4a9e6189740a57784611731f0308e8 | 3155 px moved, max 151
2_chrome_logo.png | setbg | 127253 | 959 | b85d5c1b5e20e0859fb38a18ab631763c4184c0a49161bf5af0ea4fe0920eddf | 2951 px moved, max 238
2_chrome_logo.png | variant | 129374 | 986 | 1319025645e01b590c4d6320d2ac468a583d4f6ec1b6bbf3e6653a561a384bd9 | 3437 px moved, max 252
3_tux.png | off | 142575 | 206 | 8b18c2e4eeb79daffc65ef0104d22d8104557403529f059131de2e863da77096 | identical
3_tux.png | edges | 121879 | 233 | 4eb7565413a27daf7921b1bf4621eb7fee28b99184f77fd3a328edf9d70d4632 | identical
3_tux.png | closed | 121879 | 225 | 4eb7565413a27daf7921b1bf4621eb7fee28b99184f77fd3a328edf9d70d4632 | identical
3_tux.png | smart | 142504 | 218 | 60f06f3564cf677cd543d25adf8d0446f02a79026477347201a7aebfbe60abeb | identical
