# G10 §H golden baselines — background pipeline
# texture size 512, default tolerance 30, fill #EE3333
# picture | variant | out bytes | ms | sha256 | vs baseline
1_transparent.png | off | 150860 | 433 | c851e40cff3d7faff44559d9bfbe84ec50bc3863108651527e44ae77f56e0c1b | identical
1_transparent.png | edges | 140835 | 307 | a2dd464593e85a58fec712bf42ccc705037953bc4bbeb80ba2bc3a8956469b80 | identical
1_transparent.png | closed | 140835 | 303 | a2dd464593e85a58fec712bf42ccc705037953bc4bbeb80ba2bc3a8956469b80 | identical
1_transparent.png | smart | 143643 | 187 | 975b39a8a7e82fd4e5c340587adf57038aefa5137179adfb5410e2d95291a659 | identical
1_transparent.png | edges_fill | 143585 | 150 | 05deb05b04f95ce16556ff8a8e4a4e2ba9f15cf257fb01ba2e174c01e244476c | identical
1_transparent.png | setbg | 140968 | 167 | 58484be7e2c23ab50874fbae1b58082e9966bcbf18ec097c34bc99d1b124767f | identical
1_transparent.png | variant | 149599 | 147 | c49c73d15ac01f74d549a9c0d7926a12d64ef9ffa2cd80c36b4038f8039d5217 | identical
2_chrome_logo.png | off | 128791 | 342 | ae12718b6593c674d9ce625adced0e582167a8a0c7346ce6b7854f167223198a | identical
2_chrome_logo.png | edges | 127146 | 393 | db4d0251fefa0a7a8d3aa23a328e80b617429a8e05a6d2387938c1d97001bc22 | 84 px moved, max 66
2_chrome_logo.png | closed | 127146 | 1016 | db4d0251fefa0a7a8d3aa23a328e80b617429a8e05a6d2387938c1d97001bc22 | 84 px moved, max 66
2_chrome_logo.png | smart | 128719 | 1297 | 3bec8c3407115dbcee6259b3a39d6503d85e92dae387c24dd233aaad4d0a8295 | 99 px moved, max 66
2_chrome_logo.png | edges_fill | 128771 | 1122 | c64c077d2edc63472682dde11c88145c051c75755dffdb1e1ee5a60c3ed14f17 | 102 px moved, max 66
2_chrome_logo.png | setbg | 128027 | 939 | 8d3d551403c37d8f1a255c79681401cdfc368aaaf8af45d5dd5096bd447d657f | 293 px moved, max 238
2_chrome_logo.png | variant | 129981 | 868 | e05a31fbf78a9a89f56bb942811e5af15103f81590e9a98c72ef9ad1f0b39b3e | 380 px moved, max 250
3_tux.png | off | 142575 | 193 | 8b18c2e4eeb79daffc65ef0104d22d8104557403529f059131de2e863da77096 | identical
3_tux.png | edges | 121879 | 173 | 4eb7565413a27daf7921b1bf4621eb7fee28b99184f77fd3a328edf9d70d4632 | identical
3_tux.png | closed | 121879 | 222 | 4eb7565413a27daf7921b1bf4621eb7fee28b99184f77fd3a328edf9d70d4632 | identical
3_tux.png | smart | 142504 | 258 | 60f06f3564cf677cd543d25adf8d0446f02a79026477347201a7aebfbe60abeb | identical
3_tux.png | edges_fill | 143818 | 249 | e22c53fce3d3f0f1d5787b10e8f50064f3584134f26a88a15b820f30dfb47443 | identical
3_tux.png | setbg | 145477 | 288 | 6b5bb2c84bbbfd48e4052b456936c54afeefeec18439c0f0d14a83484bd6b1c4 | identical
3_tux.png | variant | 153352 | 221 | 00c66a34d6b156864e0f6f1f5e7f6c07e1f4272b9d195df5a1fadd8468e14d50 | identical
4_chrome_jpeg.jpg | off | 141654 | 349 | c6c4b9849bc588a5a6c66e9a67cf769531ea6dbc220a786978f1aec6e9f2b1fe | identical
4_chrome_jpeg.jpg | edges | 138752 | 449 | eef1f72c95d44bf8f04f0cb55037e347a575737e516b319322c8f676eca57db1 | 158 px moved, max 124
4_chrome_jpeg.jpg | closed | 138752 | 444 | eef1f72c95d44bf8f04f0cb55037e347a575737e516b319322c8f676eca57db1 | 158 px moved, max 124
4_chrome_jpeg.jpg | smart | 140838 | 499 | 7b713e5fd6c6538110b3630364be8f60598ea8b6dcb6260ba0fadde87c90646e | 183 px moved, max 114
4_chrome_jpeg.jpg | edges_fill | 140838 | 586 | 7b713e5fd6c6538110b3630364be8f60598ea8b6dcb6260ba0fadde87c90646e | 183 px moved, max 114
4_chrome_jpeg.jpg | setbg | 139908 | 418 | acf3d92a23518916cf8fb1bd2a50879594c1d25dc61206ab886a1320d23cac6f | 745 px moved, max 238
4_chrome_jpeg.jpg | variant | 143602 | 367 | 5a7340f776011354f43f17ebfec4b66cc80f085b0eb0ce5de7bbd92f504a463e | 1015 px moved, max 255
