# G10 §H golden baselines — background pipeline
# texture size 512, default tolerance 30, fill #EE3333
# picture | variant | out bytes | ms | sha256 | vs baseline
1_transparent.png | off | 150860 | 404 | c851e40cff3d7faff44559d9bfbe84ec50bc3863108651527e44ae77f56e0c1b | identical
1_transparent.png | edges | 143643 | 189 | 975b39a8a7e82fd4e5c340587adf57038aefa5137179adfb5410e2d95291a659 | 1191 px moved, max 24
1_transparent.png | closed | 143643 | 227 | 975b39a8a7e82fd4e5c340587adf57038aefa5137179adfb5410e2d95291a659 | 1191 px moved, max 24
1_transparent.png | smart | 143643 | 191 | 975b39a8a7e82fd4e5c340587adf57038aefa5137179adfb5410e2d95291a659 | identical
1_transparent.png | edges_fill | 143585 | 155 | 05deb05b04f95ce16556ff8a8e4a4e2ba9f15cf257fb01ba2e174c01e244476c | identical
1_transparent.png | setbg | 149599 | 169 | c49c73d15ac01f74d549a9c0d7926a12d64ef9ffa2cd80c36b4038f8039d5217 | 4940 px moved, max 24
1_transparent.png | variant | 149599 | 145 | c49c73d15ac01f74d549a9c0d7926a12d64ef9ffa2cd80c36b4038f8039d5217 | identical
2_chrome_logo.png | off | 128791 | 337 | ae12718b6593c674d9ce625adced0e582167a8a0c7346ce6b7854f167223198a | identical
2_chrome_logo.png | edges | 128771 | 516 | c64c077d2edc63472682dde11c88145c051c75755dffdb1e1ee5a60c3ed14f17 | 1579 px moved, max 24
2_chrome_logo.png | closed | 128771 | 785 | c64c077d2edc63472682dde11c88145c051c75755dffdb1e1ee5a60c3ed14f17 | 1579 px moved, max 24
2_chrome_logo.png | smart | 128719 | 1396 | 3bec8c3407115dbcee6259b3a39d6503d85e92dae387c24dd233aaad4d0a8295 | identical
2_chrome_logo.png | edges_fill | 128771 | 1197 | c64c077d2edc63472682dde11c88145c051c75755dffdb1e1ee5a60c3ed14f17 | identical
2_chrome_logo.png | setbg | 129981 | 1243 | e05a31fbf78a9a89f56bb942811e5af15103f81590e9a98c72ef9ad1f0b39b3e | 2398 px moved, max 24
2_chrome_logo.png | variant | 129981 | 1161 | e05a31fbf78a9a89f56bb942811e5af15103f81590e9a98c72ef9ad1f0b39b3e | identical
3_tux.png | off | 142575 | 151 | 8b18c2e4eeb79daffc65ef0104d22d8104557403529f059131de2e863da77096 | identical
3_tux.png | edges | 142504 | 133 | 60f06f3564cf677cd543d25adf8d0446f02a79026477347201a7aebfbe60abeb | 35574 px moved, max 24
3_tux.png | closed | 142504 | 213 | 60f06f3564cf677cd543d25adf8d0446f02a79026477347201a7aebfbe60abeb | 35574 px moved, max 24
3_tux.png | smart | 142504 | 202 | 60f06f3564cf677cd543d25adf8d0446f02a79026477347201a7aebfbe60abeb | identical
3_tux.png | edges_fill | 143818 | 237 | e22c53fce3d3f0f1d5787b10e8f50064f3584134f26a88a15b820f30dfb47443 | identical
3_tux.png | setbg | 153352 | 210 | 00c66a34d6b156864e0f6f1f5e7f6c07e1f4272b9d195df5a1fadd8468e14d50 | 5189 px moved, max 24
3_tux.png | variant | 153352 | 154 | 00c66a34d6b156864e0f6f1f5e7f6c07e1f4272b9d195df5a1fadd8468e14d50 | identical
4_chrome_jpeg.jpg | off | 141654 | 418 | c6c4b9849bc588a5a6c66e9a67cf769531ea6dbc220a786978f1aec6e9f2b1fe | identical
4_chrome_jpeg.jpg | edges | 140838 | 448 | 7b713e5fd6c6538110b3630364be8f60598ea8b6dcb6260ba0fadde87c90646e | 1643 px moved, max 24
4_chrome_jpeg.jpg | closed | 140838 | 453 | 7b713e5fd6c6538110b3630364be8f60598ea8b6dcb6260ba0fadde87c90646e | 1643 px moved, max 24
