# G10 §H golden baselines — background pipeline
# texture size 512, default tolerance 30, fill #EE3333
# picture | variant | out bytes | ms | sha256 | vs baseline
1_transparent.png | off | 150860 | 457 | c851e40cff3d7faff44559d9bfbe84ec50bc3863108651527e44ae77f56e0c1b | 56779 px moved, max 72
1_transparent.png | edges | 142714 | 249 | 8d0b41757712b63e0c779b6d14c4715246c138068d3d236c70bcf726a8a451b2 | 54707 px moved, max 74
1_transparent.png | closed | 142714 | 225 | 8d0b41757712b63e0c779b6d14c4715246c138068d3d236c70bcf726a8a451b2 | 54707 px moved, max 74
1_transparent.png | smart | 145867 | 222 | 8f527255b912089b833605259d1fd33d1a90e6800c47b7f0ff44f35fd528372e | 55843 px moved, max 74
1_transparent.png | edges_fill | 145809 | 176 | cb78f290b9a65dba217437796964363c6733b6bf8ac15dd75492e72df7f9da5c | 55843 px moved, max 74
1_transparent.png | setbg | 143039 | 235 | 4d29235d47874d52b5dca8c60549c0584290b8e11e39cc1dd0c26a1783e2f265 | 48802 px moved, max 70
1_transparent.png | variant | 151504 | 181 | 04d0381ed7e4d76b4588da045feb4f04f5cff5e696201501623728f9fd8eb78b | 51865 px moved, max 70
2_chrome_logo.png | off | 128791 | 327 | ae12718b6593c674d9ce625adced0e582167a8a0c7346ce6b7854f167223198a | identical
2_chrome_logo.png | edges | 127068 | 447 | 17a8e8ca812605d2c207baec2015a0a6e21a1bc95dd35afa839dbf8319460a95 | identical
2_chrome_logo.png | closed | 127068 | 447 | 17a8e8ca812605d2c207baec2015a0a6e21a1bc95dd35afa839dbf8319460a95 | identical
2_chrome_logo.png | smart | 128603 | 430 | 7ea7bfdc59f9e48e593f0c08779f60103d9d378ef81a42f766ff0750f84445de | identical
2_chrome_logo.png | edges_fill | 128603 | 383 | 7ea7bfdc59f9e48e593f0c08779f60103d9d378ef81a42f766ff0750f84445de | identical
2_chrome_logo.png | setbg | 127819 | 419 | 2d70f70030da36f17766124b41caca70480783164fc6d97f2601c8104ba0b9ad | identical
2_chrome_logo.png | variant | 129614 | 395 | 98926facb749d830494a1cf6f38348dbb6706325755efad2bb40264b41979ed0 | identical
3_tux.png | off | 142575 | 70 | 8b18c2e4eeb79daffc65ef0104d22d8104557403529f059131de2e863da77096 | 2187 px moved, max 65
3_tux.png | edges | 121879 | 78 | 4eb7565413a27daf7921b1bf4621eb7fee28b99184f77fd3a328edf9d70d4632 | identical
3_tux.png | closed | 121879 | 83 | 4eb7565413a27daf7921b1bf4621eb7fee28b99184f77fd3a328edf9d70d4632 | identical
3_tux.png | smart | 142504 | 77 | 60f06f3564cf677cd543d25adf8d0446f02a79026477347201a7aebfbe60abeb | identical
3_tux.png | edges_fill | 143818 | 76 | e22c53fce3d3f0f1d5787b10e8f50064f3584134f26a88a15b820f30dfb47443 | identical
3_tux.png | setbg | 144162 | 103 | 97ec057c8074c4fb11a7d7cb5792f8e963925af1c1c6926fae5e5998e28f451e | identical
3_tux.png | variant | 152461 | 83 | 0bdc7aea24c4eb53482506d527c92bc546e2fd1ba7a3fc77f04c1357c3e6acea | identical
4_chrome_jpeg.jpg | off | 141654 | 136 | c6c4b9849bc588a5a6c66e9a67cf769531ea6dbc220a786978f1aec6e9f2b1fe | identical
4_chrome_jpeg.jpg | edges | 139324 | 164 | ea33b362e285945e976e5c6232483ca807e005e87d16fb5573d38e324e32eb85 | identical
4_chrome_jpeg.jpg | closed | 139324 | 236 | ea33b362e285945e976e5c6232483ca807e005e87d16fb5573d38e324e32eb85 | identical
4_chrome_jpeg.jpg | smart | 141418 | 171 | 59c2c8968a93f9a719d051bd4a9682813333b2b3e8533d0d2b8e86e5b2870865 | identical
4_chrome_jpeg.jpg | edges_fill | 141418 | 167 | 59c2c8968a93f9a719d051bd4a9682813333b2b3e8533d0d2b8e86e5b2870865 | identical
4_chrome_jpeg.jpg | setbg | 140360 | 191 | 13d64fab0675c6edb1175715f88e14e0c544bfcf739cfbd8aeebf9ebd73ddcd7 | identical
4_chrome_jpeg.jpg | variant | 144193 | 169 | 69d028a94014657d6a0a4d9a0ff64c1386122529b2d7065092942567d4a68b4c | identical
5_periodic_table.png | off | 163920 | 1165 | e3f7419a118e854b527a5706091ac5612392100e45eb518e5e1a067c5946d03d | identical
5_periodic_table.png | edges | 144046 | 8207 | 8006bc5d55a9e69f067ea80cf011d144eba1091036d8e72e0ada7f265caf7332 | identical
5_periodic_table.png | closed | 143493 | 9579 | fd18a503dddfd004ee8a6938d43fe20bcf68d6a3dff174451712750fd8c0c838 | identical
5_periodic_table.png | smart | 108695 | 8358 | 87b5a6851532882ffcbd4e4f13ef1ea3b29c32a536d60a933670ff4a30e985bd | identical
5_periodic_table.png | edges_fill | 147391 | 8218 | e7835f479cc43158368d4f35230e900238d579c2d8e6283c25035b2b07ec0346 | identical
5_periodic_table.png | setbg | 148644 | 9222 | 0946e371e0e8cc3ff4e2dbbddf38a17089c84573396098f9e29afe2fa45f19cf | identical
5_periodic_table.png | variant | 155896 | 9430 | 397754cfebf47341863ec690216099b1689ea1f1ae01376d46bde0601a0aa00f | identical
6_stripes.png | off | 3083 | 54 | adce1e0e614b75757a3b81ab6faf8a39d9c24fddc950ab34c88599baa5198264 | identical
6_stripes.png | edges | 2973 | 230 | e90a92c225d502df3b81a9636fda99493a2e873b7b63b9745e90e162c5ce768b | identical
6_stripes.png | closed | 2973 | 243 | e90a92c225d502df3b81a9636fda99493a2e873b7b63b9745e90e162c5ce768b | identical
6_stripes.png | smart | 2329 | 252 | 42280bae707291e6bffa47f41f389dbb190f64e79e490c7b0a3f90f22cd583e8 | identical
6_stripes.png | edges_fill | 3163 | 211 | 386498c5a1abc73b577b856ecf0a2f32288d9837c54946200682ae598228a353 | identical
6_stripes.png | setbg | 3080 | 227 | 47d996902a3377f0ec65d439f0c4a21369cfffc182b40c494d524d148b4977a5 | identical
6_stripes.png | variant | 3138 | 207 | 9cf985157c1e09b105d35041efea4041ad8d265a4626829ce80f1057efe294ca | identical
7_letter_o.jpg | off | 67722 | 214 | 4d768ce1c843baad51d792f6ed7f4d40b1d7917fb28d2d7f1f7a4522144cb238 | identical
7_letter_o.jpg | edges | 51448 | 397 | ee65e7015b32f024d64e49fcf894d77c0e195aa92ea28cf29aa81baf461bfbbb | identical
7_letter_o.jpg | closed | 35598 | 411 | 19dfa386c1edcbf38dc3d63e769dfc958c9ec81e46607fe8618f7767e5347e85 | identical
7_letter_o.jpg | smart | 32613 | 409 | 246c6f8c7d670a6e063282bf037e78987b7ca3c0e6797b37429e35cea3d34600 | identical
7_letter_o.jpg | edges_fill | 53741 | 402 | ad3136fc95c829b917e53340e142d3fbda9fe684734675b300ca34fdfb1c5b31 | identical
7_letter_o.jpg | setbg | 51610 | 418 | 7c40d93c05feeee058b41e57606811f3007453a3dbc7c70ef10221f7f0be1a30 | identical
7_letter_o.jpg | variant | 56008 | 396 | 5b9ebc7bb90295e249207ee752d67167f851d9168efec0997878c579443b9535 | identical
