# G10 §H golden baselines — background pipeline
# texture size 512, default tolerance 30, fill #EE3333
# picture | variant | out bytes | ms | sha256 | vs baseline
1_transparent.png | off | 150860 | 467 | c851e40cff3d7faff44559d9bfbe84ec50bc3863108651527e44ae77f56e0c1b | identical
1_transparent.png | edges | 142714 | 299 | 8d0b41757712b63e0c779b6d14c4715246c138068d3d236c70bcf726a8a451b2 | identical
1_transparent.png | closed | 142714 | 372 | 8d0b41757712b63e0c779b6d14c4715246c138068d3d236c70bcf726a8a451b2 | identical
1_transparent.png | smart | 145867 | 258 | 8f527255b912089b833605259d1fd33d1a90e6800c47b7f0ff44f35fd528372e | identical
1_transparent.png | edges_fill | 145809 | 219 | cb78f290b9a65dba217437796964363c6733b6bf8ac15dd75492e72df7f9da5c | identical
1_transparent.png | setbg | 143039 | 272 | 4d29235d47874d52b5dca8c60549c0584290b8e11e39cc1dd0c26a1783e2f265 | identical
1_transparent.png | variant | 151504 | 220 | 04d0381ed7e4d76b4588da045feb4f04f5cff5e696201501623728f9fd8eb78b | identical
2_chrome_logo.png | off | 128791 | 324 | ae12718b6593c674d9ce625adced0e582167a8a0c7346ce6b7854f167223198a | identical
2_chrome_logo.png | edges | 126619 | 525 | dbe1f1812be2e4e13af47dd0b017a377893f7da3dc594e1527f6d535769df24e | 1388 px moved, max 128
2_chrome_logo.png | closed | 126619 | 528 | dbe1f1812be2e4e13af47dd0b017a377893f7da3dc594e1527f6d535769df24e | 1388 px moved, max 128
2_chrome_logo.png | smart | 128214 | 521 | bc5b51c7f5b8c9d68d6a36304be9069c27251583aed04567721179749aaaa080 | 1728 px moved, max 113
2_chrome_logo.png | edges_fill | 128214 | 459 | bc5b51c7f5b8c9d68d6a36304be9069c27251583aed04567721179749aaaa080 | 1728 px moved, max 113
2_chrome_logo.png | setbg | 127264 | 528 | db7c34cdbf1b2dbd1a98173cb3a39bdde794f90d4e0c51952f78379610084bf5 | 1416 px moved, max 109
2_chrome_logo.png | variant | 129166 | 471 | f8a4b73507727a56ff20271b3ba568610e82ba66f01cacb73a74f7922d9b477a | 2241 px moved, max 109
3_tux.png | off | 142575 | 66 | 8b18c2e4eeb79daffc65ef0104d22d8104557403529f059131de2e863da77096 | identical
3_tux.png | edges | 121879 | 85 | 4eb7565413a27daf7921b1bf4621eb7fee28b99184f77fd3a328edf9d70d4632 | identical
3_tux.png | closed | 121879 | 83 | 4eb7565413a27daf7921b1bf4621eb7fee28b99184f77fd3a328edf9d70d4632 | identical
3_tux.png | smart | 142504 | 101 | 60f06f3564cf677cd543d25adf8d0446f02a79026477347201a7aebfbe60abeb | identical
